,Headlines,Date_Time,URL,Description,Content,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
0,"El Salvador buys 150 more bitcoins, president says - Reuters",2021-09-20T12:24:00Z,https://www.reuters.com/business/finance/el-salvador-buys-150-more-bitcoins-president-says-2021-09-20/,"El Salvador has bought 150 more bitcoins, President Nayib Bukele announced, taking the Central American country's holdings of the volatile cryptocurrency to 700 coins.","A representation of cryptocurrency Bitcoin is seen in this illustration taken August 6, 2021. REUTERS/Dado Ruvic/IllustrationSept 20 (Reuters) - El Salvador has bought 150 more bitcoins, President Na… [+485 chars]",0.0,0.0,1.0,0.0
1,"Bitcoin Falls Below $43,000 as Global Market Rout Infects Crypto - Yahoo Canada Finance",2021-09-20T12:58:57Z,https://ca.finance.yahoo.com/news/bitcoin-falls-below-45-000-113522727.html,"<ol><li>Bitcoin Falls Below $43,000 as Global Market Rout Infects Crypto  Yahoo Canada Finance
</li><li>1 High-Growth ETF That Thinks Outside the Box  The Motley Fool Canada
</li><li>Bitcoin Price Prediction – Bears Take Control and Eye sub-$44,000…  FX Emp…","(Bloomberg) -- Cryptocurrency prices slumped as a broad selloff sparked by worries about contagion from China Evergrande Group swept through global markets.
Most Read from Bloomberg
Bitcoin dropped… [+3175 chars]",-0.4404,0.0,0.923,0.077
2,"Bitcoin slides below $45,000 in a broad crypto sell-off driven by worries about the spillover from Evergrande's debt default",2021-09-20T11:44:54Z,https://markets.businessinsider.com/news/currencies/bitcoin-price-evergrande-default-crypto-sell-off-spillover-global-stocks-2021-9,"Some analysts attributed the sudden dip to embattled developer Evergrande, which has caused turmoil in traditional markets.","Yuriko Nakao/Getty Images
Bitcoin fell below $45,000 in a broad sell-off of cryptocurrencies on Monday, sparked by concerns that the effect of Chinese property giant Evergrande's debt crunch would s… [+1773 chars]",-0.3612,0.0,0.865,0.135
3,7 Best Cryptos to Buy During Altcoin Season,2021-09-20T15:28:43Z,https://investorplace.com/2021/09/7-best-cryptos-to-buy-during-altcoin-season/?utm_source=due&#038;utm_medium=editorial,"I’ve been on the sidelines with cryptocurrencies, but it’s an asset class that is fascinating for many reasons. For many crypto investors, the conversation about best cryptos begins and ends with Bitcoin (CCC:BTC-USD). However, it’s becoming increasingly appa…","Ive been on the sidelines with cryptocurrencies, but its an asset class that is fascinating for many reasons. For many crypto investors, the conversation about best cryptos begins and ends with Bitco… [+8204 chars]",0.9413,0.283,0.717,0.0
4,"Following SEC lawsuit threat, Coinbase cancels launch of ‘Lend’ product",2021-09-20T17:25:32Z,http://techcrunch.com/2021/09/20/following-sec-lawsuit-threat-coinbase-cancels-launch-of-lend-product/,"Coinbase efforts to play hardball with the Securities and Exchange Commission didn’t last too long. The cryptocurrency exchange had garnered the ire of the regulatory commission over its plans to launch a crypto lending product, with the SEC sending the compa…",Coinbase efforts to play hardball with the Securities and Exchange Commission didn’t last too long. The cryptocurrency exchange had garnered the ire of the regulatory commission over its plans to lau… [+2913 chars],0.5574,0.108,0.892,0.0
5,Blockchain is a digital database used to store data for crypto transactions and other assets - here's how it works,2021-09-20T15:12:40Z,https://www.businessinsider.com/what-is-blockchain,"Blockchain is a digital database that secures cryptocurrency transactions, but it also has other uses.","It's almost impossible to say ""cryptocurrency"" without mentioning blockchain technology. Blockchain securely stores segments of data through a self-managing, peer-to-peer (P2P) network of computers. … [+6748 chars]",0.1655,0.113,0.887,0.0
6,"Evergrande jitters pull risk currencies lower, dollar gains on safety bid - Reuters",2021-09-20T16:03:00Z,https://www.reuters.com/business/evergrande-jitters-pull-risk-currencies-lower-dollar-gains-safety-bid-2021-09-20/,"The offshore Chinese yuan weakened versus the greenback to its lowest level in nearly a month on Monday, as worries about the fallout from property developer Evergrande's solvency issues spooked financial markets and lifted safe-haven currencies.","NEW YORK, Sept 20 (Reuters) - The offshore Chinese yuan weakened versus the greenback to its lowest level in nearly a month on Monday, as worries about the fallout from property developer Evergrande'… [+2546 chars]",-0.7717,0.0,0.806,0.194
7,"Crypto: Crypto tumble overshadows bitcoin’s bullish bid for ‘golden cross,’ amid China contagion fear",2021-09-20T12:06:00Z,https://www.marketwatch.com/story/crypto-tumble-overshadows-bitcoins-bullish-bid-for-golden-cross-amid-china-contagion-fear-11632139591,"The total crypto complex was down over $200 billion on Monday and bitcoin was registering solid losses, imperiling a potential bullish formation in the charts for the world's No. 1 digital asset.","The total crypto complex was down over $200 billion on Monday, and bitcoin was registering solid losses, imperiling a potential bullish formation in the charts for the worlds No. 1 digital asset. At … [+1876 chars]",-0.2023,0.117,0.743,0.14
8,"FOREX-Evergrande worries drag risk FX lower, dollar catches safety bid - Reuters",2021-09-20T08:30:00Z,https://www.reuters.com/article/global-forex-idUSL1N2QM0CJ,"FOREX-Evergrande worries drag risk FX lower, dollar catches safety bid  Reuters","* Yuan skids from 3-mth highs to 3-wk lows on Evergrande worries
* Dollar index at 4-week high on safety bid
* Risk/commodity FX hit
LONDON, Sept 20 (Reuters) - The offshore Chinese yuan skidded t… [+3380 chars]",-0.6369,0.157,0.337,0.506
9,E-Waste From a Single Bitcoin Transaction Is Reportedly Comparable To Throwing Away Two iPhone 12 Minis,2021-09-20T08:57:36Z,https://hypebeast.com/2021/9/single-bitcoin-transaction-e-waste-comparison-twelve-iphone-12-minis-report,"It is not a surprise that cryptocurrency transactions are harmful to the planet, leaving a negative impact on its e-waste.A new study from the Resources, Conservation and Recycling journal has measured approximately how much waste bitcoin transactions generat…","It is not a surprise that cryptocurrency transactions are harmful to the planet, leaving a negative impact on its e-waste.
A new study from the Resources, Conservation and Recycling journal has meas… [+1690 chars]",-0.8081,0.0,0.799,0.201
10,"'Big Short' investor Michael Burry sounds the alarm on stocks, blasts the Fed, and calls for a Big Tech boycott",2021-09-20T11:40:24Z,https://markets.businessinsider.com/news/stocks/big-short-michael-burry-stock-market-federal-reserve-big-tech-2021-9,"Burry warned that current stock valuations aren't sustainable, accused the Fed of downplaying inflation, and said tech companies were harming users.","Michael Burry.
Astrid Stawiarz/Getty Images
Michael Burry warned the US stock market is in a precarious position, accused the Federal Reserve of misleading investors, and swore off America's larges… [+2930 chars]",-0.5875,0.074,0.703,0.223
11,10 things in tech you need to know today,2021-09-20T10:00:00Z,https://www.businessinsider.com/10-things-in-tech-you-need-to-know-today-20-2021-9,"Facebook hit back at the WSJ, and the NTSB criticized Tesla's use of the term Full Self-Driving: 10 things in tech you need to know.","Good morning and welcome to 10 Things in Tech. If this was forwarded to you, sign up here. Plus, download Insider's app for news on the go click here for iOS and here for Android.
Let's get started.… [+2901 chars]",-0.3612,0.0,0.906,0.094
12,"The Moneyist: My recently widowed father, 68, met a woman on Facebook — and sent her Bitcoin so they could meet",2021-09-20T04:32:00Z,https://www.marketwatch.com/story/my-recently-widowed-father-68-met-a-woman-on-facebook-and-sent-her-bitcoin-so-they-could-meet-11632108651,‘How do I navigate these waters now and what can I do to protect his finances?’,"My father is 68 years old, and recently a widower. His wife, my stepmother, had a tight reins on their finances and, as such, he was unable to spend as much or do as much as he wanted. She passed in … [+5445 chars]",0.3818,0.167,0.833,0.0
13,This Father-Son Hacker Duo Is Helping People Crack Into Their Lost Bitcoin Wallets,2021-09-19T21:49:41Z,https://hypebeast.com/2021/9/bitcoin-wallet-hacker-chris-charlie-crypto-asset-recovery,"Chris and Charlie Brooks -- self-proclaimed ""ethical hackers"" -- are on a mission to help people who have forgotten the passwords to their Bitcoin wallets and could be sitting on a trove of missing assets waiting to be discovered.""A lot of Bitcoin that's been…",Chris and Charlie Brooks — self-proclaimed “ethical hackers” — are on a mission to help people who have forgotten the passwords to their Bitcoin wallets and could be sitting on a trove of missing ass… [+5535 chars],0.5574,0.158,0.758,0.084
14,"Evergrande jitters pull risk FX lower, dollar gains on safety bid - Reuters",2021-09-20T10:54:00Z,https://www.reuters.com/business/evergrande-jitters-pull-risk-fx-lower-dollar-gains-safety-bid-2021-09-20/,"The offshore Chinese yuan skidded to three-week lows on Monday, dragging down other risk and commodity currencies as worries about property developer Evergrande's solvency spooked financial markets, while the safe-haven dollar rose","LONDON, Sept 20 (Reuters) - The offshore Chinese yuan skidded to three-week lows on Monday, dragging down other risk and commodity currencies as worries about property developer Evergrande's solvency… [+3741 chars]",-0.6908,0.0,0.812,0.188
15,Crypto: Coinbase ditches crypto lending program after receiving SEC lawsuit threat,2021-09-20T17:26:00Z,https://www.marketwatch.com/story/coinbase-ditches-crypto-lending-program-after-receiving-sec-lawsuit-threat-11632158796,"‘As we continue our work to seek regulatory clarity for the crypto industry as a whole, we’ve made the difficult decision not to launch the USDC APY program,’ Coinbase wrote in a blog post","Coinbase Global 
 COIN,
 -4.36%
dropped its plan to launch a program that would have allowed users to earn interest by depositing cryptocurrency, after the Nasdaq-listed crypto exchange said earli… [+2598 chars]",0.0516,0.077,0.852,0.071
16,Bitcoin mining producing tonnes of waste,2021-09-20T16:44:06Z,https://www.bbc.co.uk/news/technology-58572385,Waste from the cryptocurrency process is similar to that from IT equipment somewhere like the Netherlands.,"image source, Getty Images
Bitcoin mining produces electronic waste (e-waste) annually comparable to the small IT equipment waste of a place like the Netherlands, research shows.
Miners of the cryp… [+2286 chars]",-0.0772,0.13,0.725,0.145
17,"Surfshark vs. ExpressVPN: VPN speed, security and price compared - CNET",2021-09-20T15:30:08Z,https://www.cnet.com/tech/services-and-software/surfshark-vs-expressvpn-vpn-speed-security-and-price-compared/,It's a close race between two speedy VPNs from the Virgin Islands.,"Editors' note: Following the Sept. 13 sale of ExpressVPN to Kape Technologies, a company that has raised significant privacy concerns for us in the past, we're carefully reevaluating ExpressVPN to de… [+5123 chars]",0.0,0.0,1.0,0.0
18,"Bitcoin sinks below $43,000 as Evergrande fears sweep markets",2021-09-20T16:02:18Z,https://www.aljazeera.com/economy/2021/9/20/bitcoin-sinks-below-43000-as-evergrade-fears-sweep-markets,Bitcoin got caught in market fears about possible contagion if Chinese property developer Evergrande sees debt default.,"Cryptocurrency prices slumped as a broad selloff sparked by worries about contagion from China Evergrande Group swept through global markets.
Bitcoin dropped as much as 10.7% to $42,522 in New York … [+3107 chars]",-0.8074,0.0,0.628,0.372
19,"As bitcoin falls to ~$43K, El Salvador's President Nayib Bukele says the country has ""bought the dip"" and acquired 150 more BTC, taking its total holding to 700 (Yogita Khatri/The Block)",2021-09-20T13:35:08Z,https://www.techmeme.com/210920/p11,"Yogita Khatri / The Block:
As bitcoin falls to ~$43K, El Salvador's President Nayib Bukele says the country has “bought the dip” and acquired 150 more BTC, taking its total holding to 700  —  El Salvador has purchased 150 more bitcoins (worth $6.8 million at …","About This Page
This is a Techmeme archive page.
It shows how the site appeared at 9:40 AM ET, September 20, 2021.
The most current version of the site as always is available at our home page.
To… [+72 chars]",-0.4404,0.0,0.935,0.065
