,Headlines,Date_Time,URL,Description,Content,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
0,China’s central bank bans cryptocurrency transactions to avoid ‘risks’,2021-09-24T16:22:55Z,https://www.theverge.com/2021/9/24/22691472/china-central-bank-cryptocurrency-illegal-bitcoin,"China’s central bank on Friday said cryptocurrency transactions in the country are illegal, banning all transactions. It said cryptocurrencies like bitcoin and Ethereum are not legal tender and can’t be circulated.","Its the countrys latest crackdown on digital currencies
Illustration by Alex Castro / The Verge
The Peoples Bank of China, the countrys central bank, said Friday that cryptocurrency transactions ar… [+1461 chars]",-0.3549,0.07,0.789,0.14
1,Twitter will allow people to tip their favorite content creators with bitcoin,2021-09-24T12:14:00Z,https://techncruncher.blogspot.com/2021/09/twitter-will-allow-people-to-tip-their.html,"Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Thursday.The company also said it will test new ways to help u…","Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Th… [+2802 chars]",0.7351,0.146,0.827,0.027
2,Old coal plant is now mining bitcoin for a utility company,2021-09-24T20:30:09Z,https://arstechnica.com/tech-policy/2021/09/old-coal-plant-is-now-mining-bitcoin-for-a-utility-company/,Bitcoin is breathing new life into another ailing power plant.,"19 with 16 posters participating
Bitcoins massive power consumption is the cryptocurrencys dirty secret. To mine bitcoin, computers across the globe chew through enough electricity to power a medium… [+3500 chars]",0.0,0.0,1.0,0.0
3,Marathon Digital and other crypto-linked stocks drop after China declares cryptocurrency transactions illegal,2021-09-24T13:58:00Z,https://markets.businessinsider.com/news/stocks/marathon-digital-stock-price-riot-blockchain-china-crypto-transactions-illegal-2021-9,"China says bitcoin and ether cannot be used as currency in the world's second-largest economy, sending bitcoin and crypto-linked stocks lower.","Bitcoin
Dan Kitwood/ Getty Images
Shares of bitcoin miners and other stocks tied to the cryptocurrency space slid Friday after China said all crypto-related transactions are illegal, with the count… [+1677 chars]",-0.296,0.0,0.901,0.099
4,Bitcoin dumps after Chinese condemnation | Kitco News - Kitco NEWS,2021-09-24T10:14:00Z,https://www.kitco.com/news/2021-09-24/Bitcoin-dumps-after-Chinese-condemnation.html,"<ol><li>Bitcoin dumps after Chinese condemnation | Kitco News  Kitco NEWS
</li><li>Bitcoin falls as China deems all cryptocurrency transactions illegal  Financial Post
</li><li>China turns the screws on crypto, Bitcoin stumbles  The Globe and Mail
</li><li…","Editor's Note: With so much market volatility, stay on top of daily news! Get caught up in minutes with our speedy summary of today's must-read news and expert opinions. Sign up here! 
(Kitco News) … [+1167 chars]",-0.9022,0.0,0.706,0.294
5,Bitcoin slips after China central bank vows to crack down on crypto trading - Reuters,2021-09-24T09:33:00Z,https://www.reuters.com/article/fintech-cryptocurrency-bitcoin-idUSL8N2QQ1ST,"Bitcoin fell nearly 5% on Friday after China's central bank said it would crack down on cryptocurrency trading, banning overseas exchanges from providing services to mainland investors.","By Reuters Staff
LONDON, Sept 24 (Reuters) - Bitcoin fell nearly 5% on Friday after Chinas central bank said it would crack down on cryptocurrency trading, banning overseas exchanges from providing … [+89 chars]",0.0,0.0,1.0,0.0
6,"China's crypto crackdown is shaking markets, but it's been trying to rein in the sector for years. Here's a timeline of Beijing's regulatory sweep.",2021-09-24T17:06:35Z,https://markets.businessinsider.com/news/currencies/china-crypto-crackdown-timeline-regulatory-bitcoin-ether-solana-dogecoin-bans-2021-9,"China's hostility towards crypto stretches back to 2013, when the country banned banks from handling bitcoin transactions.","s de
China is increasingly cracking down on bitcoin.
Florence Lo/Illustration/Reuters
It was deja vu all over again for some cryptocurrency investors on Friday after China said it would ban all cr… [+2913 chars]",-0.7579,0.0,0.698,0.302
7,Chinese crackdown on bitcoin another blow to Cathie Wood's ARK ETF - Reuters,2021-09-24T16:55:00Z,https://www.reuters.com/article/usa-funds-ark-bitcoin-idUSL1N2QQ1KM,"China's moves to crack down on bitcoin trading dealt another blow to Cathie Wood's ARK Innovation Fund, which outperformed all other U.S. equity funds last year but is now mired among the worst of its peers.","NEW YORK, Sept 24 (Reuters) - Chinas moves to crack down on bitcoin trading dealt another blow to Cathie Woods ARK Innovation Fund, which outperformed all other U.S. equity funds last year but is now… [+2209 chars]",-0.705,0.043,0.82,0.136
8,China declared all cryptocurrency transactions illegal and causes Bitcoin crash,2021-09-24T15:14:00Z,https://www.entrepreneur.com/article/387585,"The Central Bank of China announced that it will ban financial institutions, payment and internet companies from facilitating cryptocurrency trading to Chinese investors, affecting the price of Bitcoin.","Last May, the Chinese governmentbanned the country's financial institutions from trading digital currencies . This Friday, the Central Bank of China tightened the measures and declared all cryptocurr… [+2412 chars]",-0.5574,0.0,0.882,0.118
9,Bitcoin falls as China deems all cryptocurrency transactions illegal - Financial Post,2021-09-24T11:03:45Z,https://financialpost.com/fp-finance/cryptocurrency/bitcoin-falls-a-china-deems-all-cryptocurrency-transactions-illegal-in-crackdown,"Central bank says all crypto currencies, including bitcoin and tether, are not fiat currency and cannot be circulated on the market","Central bank says all crypto currencies, including bitcoin and tether, are not fiat currency and cannot be circulated on the market 
China's central bank said all cryptocurrency-related transactions… [+5311 chars]",0.0,0.0,1.0,0.0
10,"Twitter Rolls Out Tipping Option to Every User, Enables Bitcoin Payments",2021-09-24T16:02:00Z,https://www.entrepreneur.com/article/387589,"iOS users will get the feature first, followed by Android users ""over the coming weeks.""","Twitters Tips feature, which has allowed select users to be tipped by followers, is rolling out to everyone on the platform, the company announced Thursday. Users can even accept payments in bitcoin.… [+1589 chars]",0.0,0.0,1.0,0.0
11,Bitcoin dives after China declares all crypto transactions illegal,2021-09-24T13:45:23Z,https://thenextweb.com/news/china-declares-all-crypto-transactions-illegal-sending-bitcoin-tumbling,"Did you know Hard Fork is taking the stage on Sept 30 and Oct 1? Together with an amazing line-up of experts, we will explore the future of crypto during TNW Conference 2021. Secure your ticket now! Cryptocurrencies nosedived on Friday after China’s central b…","Virtual currency-related business activities are illegal financial activities, the Peoples Bank of China said on its website  (via Google Translate).
 The bank added that digital currencies such as … [+527 chars]",0.7263,0.13,0.842,0.028
12,China central bank vows crackdown on cryptocurrency trading - Reuters,2021-09-24T09:24:00Z,https://www.reuters.com/article/crypto-currency-china-idUSKBN2GK0Q9,"China's central bank vowed on Friday to crack down on illegal activities of cryptocurrency trading, banning overseas exchanges from providing services to mainland investors via Internet.","By Reuters Staff
FILE PHOTO: A Chinese flag is seen among representations of Bitcoin and other cryptocurrencies in this illustration picture taken June 2, 2021. REUTERS/Florence Lo/Illustration/File… [+427 chars]",-0.5574,0.0,0.874,0.126
13,China central bank vows crackdown on cryptocurrency trading - Reuters Canada,2021-09-24T09:31:00Z,https://www.reuters.com/world/china/china-central-bank-vows-crackdown-cryptocurrency-trading-2021-09-24/,"China's central bank vowed on Friday to crack down on illegal activities of cryptocurrency trading, banning overseas exchanges from providing services to mainland investors via Internet.","A Chinese flag is seen among representations of Bitcoin and other cryptocurrencies in this illustration picture taken June 2, 2021. REUTERS/Florence Lo/Illustration/File PhotoSHANGHAI, Sept 24 (Reute… [+516 chars]",-0.5574,0.0,0.874,0.126
14,China declares cryptocurrency transactions illegal as crackdown continues,2021-09-24T16:08:57Z,https://abcnews.go.com/Business/china-declares-cryptocurrency-transactions-illegal-crackdown-continues/story?id=80208152,"Bitcoin, Ethereum and others dipped on Friday after the news from Beijing.","Bitcoin, Ethereum and other cryptocurrencies dipped in value on Friday after China declared all transactions involving these digital currencies ""illegal.""
China's central bank, the People's Bank of … [+1905 chars]",0.0,0.0,1.0,0.0
15,"China Bans Bitcoin, Again",2021-09-24T13:37:32Z,https://www.vice.com/en/article/pkbnq9/china-bans-bitcoin-again,"The People's Bank of China stated that all cryptocurrency transactions are illegal, continuing a long history of attempts to stamp out the industry.","The People's Bank of China posted a statement on Friday morning that said essentially all activity related to cryptocurrencies in the country, including making transactions with Bitcoin or issuing to… [+1545 chars]",-0.5574,0.0,0.854,0.146
16,"Why are bitcoin, ether, litecoin and other cryptos crashing? Blame China",2021-09-24T07:10:46Z,https://www.fastcompany.com/90680199/why-are-bitcoin-ether-litecoin-and-other-cryptos-crashing-blame-china,"Some cryptocurrencies are down over 8% since the news broke.
Cryptocurrency traders are set to have a rocky day after China’s central bank announced that all cryptocurrency-related transactions are now illegal, reports Bloomberg. The news sent the price of va…","Cryptocurrency traders are set to have a rocky day after China’s central bank announced that all cryptocurrency-related transactions are now illegal, reportsBloomberg. The news sent the price of vari… [+1246 chars]",-0.7506,0.0,0.853,0.147
17,China declares all cryptocurrency transactions illegal,2021-09-24T11:11:37Z,https://abcnews.go.com/Politics/wireStory/china-declares-cryptocurrency-transactions-illegal-80206260,"China’s central bank has declared all transactions involving Bitcoin and other virtual currencies illegal, stepping up a campaign to block use of unofficial digital money","BEIJING -- Chinas central bank on Friday declared all transactions involving Bitcoin and other virtual currencies illegal, stepping up a campaign to block use of unofficial digital money.
Chinese ba… [+967 chars]",-0.7579,0.0,0.772,0.228
18,Bitcoin falls as China declares crypto ‘illegal’,2021-09-24T11:25:14Z,https://dailybusinessgroup.co.uk/2021/09/bitcoin-falls-as-china-declares-crypto-illegal/,"The People’s Bank of China has declared all cryptocurrency payments illegal, delivering an unexpected dose of uncertainty into the money markets.","The price of Bitcoin and other cryptocurrencies fell
The Peoples Bank of China has declared all cryptocurrency payments illegal, delivering an unexpected dose of uncertainty into the money markets.… [+1226 chars]",-0.7184,0.0,0.76,0.24
