Headlines,Date_Time,URL,Description,Content,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
Hitting the Books: How Bitcoin is somehow worth more than the paper it's printed on,2021-09-25T15:30:24Z,https://www.engadget.com/hitting-the-books-the-future-of-money-eswar-prasad-harvard-university-press-153024975.html,"Bitcoin and similar blockchain-based cryptos exhibit the same radical divergence from traditional scarcity economics that we first saw when MP3s and Napster cratered physical album sales at the turn of the century. Unlike gold, which derives its value from bo…",Bitcoin and similar blockchain-based cryptos exhibit the same radical divergence from traditional scarcity economics that we first saw when MP3s and Napster cratered physical album sales at the turn … [+8436 chars],0.34,0.058,0.942,0.0
"26,000 and Counting: America is Installing Hundreds More Bitcoin ATMs Each Week",2021-09-26T03:34:00Z,https://news.slashdot.org/story/21/09/26/025201/26000-and-counting-america-is-installing-hundreds-more-bitcoin-atms-each-week,"The cryptocurrency-ATM company Coinmover has over 100 machines in stores in Massachusetts, New Hampshire, Connecticut, and Washington state — and plans to have 1,250 machines in 18 states by the end of the year, reports the Boston Globe. 

Right now each mach…","The cryptocurrency-ATM company Coinmover has over 100 machines in stores in Massachusetts, New Hampshire, Connecticut, and Washington state — and plans to have 1,250 machines in 18 states by the end … [+2360 chars]",0.0,0.0,1.0,0.0
VoIP.ms Battles Week-Long Sustained DDoS-for-Ransom Attack,2021-09-26T01:34:00Z,https://tech.slashdot.org/story/21/09/26/0014216/voipms-battles-week-long-sustained-ddos-for-ransom-attack,"Slashdot reader Striek writes: VoIP.ms, a Canadian VoIP provider [also serving the US], has been under a sustained, and presumably massive DDoS attack which started on the September 16th, 2021. The attack has been disruptive enough to be covered by major medi…","VoIP.ms, a Canadian VoIP provider [also serving the US], has been under a sustained, and presumably massive DDoS attack which started on the September 16th, 2021. The attack has been disruptive enoug… [+550 chars]",-0.8176,0.0,0.813,0.187
Cryptocurrency exchange Huobi to clean up existing mainland clients by end-2021 - Reuters,2021-09-26T09:23:00Z,https://www.reuters.com/world/china/cryptocurrency-exchange-huobi-clean-up-existing-mainland-clients-by-end-2021-2021-09-26/,Chinese cryptocurrency exchange Huobi Global said on Sunday it had stopped taking new mainland customers from Friday and would end contracts with mainland clients by the end of the year to comply with local regulations.,"A Chinese flag is seen among representations of Bitcoin and other cryptocurrencies in this illustration picture taken June 2, 2021. REUTERS/Florence Lo/Illustration/File PhotoBEIJING, Sept 26 (Reuter… [+726 chars]",-0.2263,0.0,0.947,0.053
"110,000 Affected by Epik Breach - Including Those Who Trusted Epik to Hide Their Identity",2021-09-25T22:34:00Z,https://yro.slashdot.org/story/21/09/25/1534236/110000-affected-by-epik-breach---including-those-who-trusted-epik-to-hide-their-identity,"Epik's massive data breach is already affecting lives. Today the Washington Post describes a real estate agent in Pompano Beach who urged buyers on Facebook to move to ""the most beautiful State."" His name and personal details ""were found on invoices suggestin…","Epik's massive data breach is already affecting lives. Today the Washington Post describes a real estate agent in Pompano Beach who urged buyers on Facebook to move to ""the most beautiful State."" His… [+2339 chars]",0.6361,0.095,0.905,0.0
TikTok shows Gen Z how to buy bitcoin and crypto. But they need other investing advice too.,2021-09-26T10:40:10Z,https://www.usatoday.com/story/news/2021/09/26/gen-z-learns-buy-crypto-social-media-they-need-professional-advice-too/5869047001/,Financial insecurity is influencing young investors to take on risk with cryptocurrencies. They're learning how to on TikTok and Instagram.,"On today's episode of 5 Things: Gen Zers and millennials endured two “once-in-a-lifetime” recessions during their prime earning years. That’s caused a lot of financial pain, especially for people of … [+32313 chars]",-0.5994,0.0,0.786,0.214
JPMorgan Warns Big Investors Are Suddenly Dumping Bitcoin For Ethereum Amid A $150 Billion Crypto Price Crash,2021-09-26T10:15:44Z,https://www.forbes.com/sites/billybambrough/2021/09/26/jpmorgan-warns-big-investors-are-suddenly-dumping-bitcoin-for-ethereum-amid-a-150-billion-crypto-price-crash/,"Ahead of China's latest bitcoin and crypto crackdown, analysts at Wall Street giant JPMorgan﻿ have warned big investors have begun pivoting out of bitcoin futures and into ethereum...","Bitcoin and cryptocurrency prices have fallen sharply through September, proving bears right.
Subscribe now to Forbes' CryptoAsset &amp; Blockchain Advisor and discover hot new NFT and crypto blockb… [+3604 chars]",-0.2732,0.0,0.928,0.072
"Elon Musk and Grimes Have Allegedly ""Semi-Separated""",2021-09-25T17:37:57Z,https://hypebeast.com/2021/9/elon-musk-grimes-semi-separated-news,"After three years together as well as having a son, X Æ A-Xii, it has been reported that Elon Musk and Grimes are going through a ""Semi"" separation. In a exclusive interview, Musk reveals that he and Grimes are ""semi-separated,"" and that they still care for e…","After three years together as well as having a son, X Æ A-Xii, it has been reported that Elon Musk and Grimes are going through a “Semi” separation. 
In a exclusive interview, Musk reveals that he a… [+1282 chars]",0.4215,0.142,0.774,0.084
China’s Supposed ‘Bitcoin Ban’ Fails To Crash Market As Twitter Adds Crypto Payments In Historic First,2021-09-25T20:08:09Z,https://www.forbes.com/sites/martinrivers/2021/09/25/chinas-supposed-bitcoin-ban-fails-to-crash-market-as-twitter-adds-crypto-payments-in-historic-first/,A move by China’s central bank to criminalize all forms of cryptocurrency trading – effectively making bitcoin illegal in the country – has failed to meaningfully impact the price of the world’s leading digital asset.,"Beijing can't stop Lightning
AFP via Getty Images
A move by Chinas central bank to criminalize all forms of cryptocurrency trading effectively making bitcoin illegal in the country has failed to me… [+4504 chars]",-0.3612,0.134,0.695,0.171
"New Twitter Integration Will Drive The Bitcoin Price Above $300,000",2021-09-26T01:00:00Z,https://bitcoinmagazine.com/markets/twitter-drives-300000-bitcoin-price,"By integrating direct bitcoin payments, Twitter is paving the way for the bitcoin price to surpass $300,000.","Jack Dorsey’s social media platform Twitter has officially enabled third-party bitcoin tipping services for iOS users, giving them the ability to seamlessly pay one another across the globe, nearly i… [+2654 chars]",0.0,0.0,1.0,0.0
"Amid China's crackdown on crypto, here's how to trade Bitcoin and Ethereum",2021-09-26T05:45:20Z,https://economictimes.indiatimes.com/markets/cryptocurrency/amid-chinas-crackdown-on-crypto-heres-how-to-trade-in-bitcoin-and-ethereum/articleshow/86524556.cms,"This month we had some good news too for BTC, El Salvador started building an infrastructure which would facilitate the BTC as legal tender. UAE is leading the crypto wonder with trading in Dubai free zones approved by the regulators and even Ukraine adopted …","Bitcoin, the largest cryptocurrency, started its September run on a very good note. The first week was fairly positive as the asset soared high, touching almost $52,900 on September 7, following whic… [+4661 chars]",0.8591,0.208,0.792,0.0
"Why Bitcoin, Ethereum And Dogecoin Could Be In For A Bumpy Road Ahead - Benzinga - Benzinga",2021-09-25T17:09:00Z,https://www.benzinga.com/markets/cryptocurrency/21/09/23101760/why-bitcoin-ethereum-and-dogecoin-could-be-in-for-a-bumpy-road-ahead,"<ol><li>Why Bitcoin, Ethereum And Dogecoin Could Be In For A Bumpy Road Ahead - Benzinga  Benzinga
</li><li>China banning crypto transactions ‘great news for bitcoin’: Investment firm CEO  Yahoo Finance
</li><li>China banned all crypto transactions on Frida…","Bitcoin (CRYPTO: BTC), Dogecoin (CRYPTO: DOGE) and Ethereum (CRYPTO: ETH) have developed inside bar patterns on the daily chart. An inside bar pattern indicates a period of consolidation and is usual… [+2521 chars]",-0.4588,0.0,0.917,0.083
Bitcoin mining company buys Pennsylvania power plant to meet electricity needs,2021-09-26T12:41:00Z,https://www.techspot.com/news/91430-bitcoin-mining-company-buys-pennsylvania-power-plant-meet.html,"Mining the top cryptocurrencies such as Bitcoin or Ethereum requires vast amounts of power. A single Bitcoin transaction, including the resources needed to mine the coin and to verify the transaction, can total upwards of 1,700 kilowatt hours (kWh). This ever…",What just happened? Crypto mining companies are continuing to find innovative solutions to power problems despite concerns regarding Bitcoin mining's immense power requirements and ecological impacts… [+2782 chars],0.2023,0.044,0.956,0.0
Crypto Exchange Giants Stop Taking China Users as Ban Widens,2021-09-26T03:54:16Z,https://finance.yahoo.com/news/crypto-exchange-stops-taking-china-075036794.html,"(Bloomberg) -- Two of the world’s largest Bitcoin exchanges have halted new registrations for Chinese users, taking one of the first actions to comply with...","(Bloomberg) -- Two of the worlds largest Bitcoin exchanges have halted new registrations for Chinese users, taking one of the first actions to comply with Beijings latest crypto ban.
Most Read from … [+2195 chars]",0.0,0.0,1.0,0.0
The use of cash will disappear very fast: Author Eswar Prasad,2021-09-25T17:23:50Z,https://economictimes.indiatimes.com/news/economy/finance/the-use-of-cash-will-disappear-very-fast-author-eswar-prasad/articleshow/86513596.cms,"The rise of these central bank digital currencies, or CBDCs, essentially virtual versions of currencies backed by the state, will be a major push towards hastening the demise of cash, says Eswar S Prasad, the Tolani senior professor of trade policy and profes…","By the end of 2021, the Reserve Bank of India is likely to launch trials for its digital currency, following the example of several other countries, from China to the Bahamas, which last year launche… [+14587 chars]",0.0258,0.027,0.973,0.0
NGU: The Bitcoin Price Will Rise With More Education,2021-09-25T18:00:00Z,https://bitcoinmagazine.com/culture/ngu-teach-bitcoin-price-follow,Number Go Up means hyperbitcoinization comes from adoption. Teaching others about Bitcoin ushers in this change even quicker.,"If you're reading this article on Bitcoin Magazine, then it’s likely that you and I have a lot in common. Clearly, we’ve both fallen down the Bitcoin rabbit hole. See if this sounds like you:
Headin… [+5640 chars]",0.0772,0.071,0.929,0.0
Turning an eInk screen into a monochrome art gallery,2021-09-26T12:08:21Z,https://shkspr.mobi/blog/2021/09/turning-an-eink-screen-into-a-monochrome-art-gallery/,"Previously on Terence Eden’s Blog: I turned an old eReader into an Information Screen. This time, I’m taking a different Nook, and turning it into a magic gallery. Here’s what it …","Previously on Terence Eden's Blog:I turned an old eReader into an Information Screen.
This time, I'm taking a different Nook, and turning it into a magic gallery. Here's what it looks like in action… [+7140 chars]",0.0,0.0,1.0,0.0
Finding Different Bitcoin ATM Near Me - Coin ATM Finder,2021-09-26T12:21:41Z,https://visual.ly/community/Infographics/business/finding-different-bitcoin-atm-near-me-coin-atm-finder,Finding it difficult to process the digital currencies you have been preserving for years? If this is the case with you then you are supposed to learn,EXIT FREE Wi Fi OPEN 24H VISA ATM INSIDE 718-922-2 buy bitcoin bere 933 MJAJ CWV YU8 Trailn ON NTW YORIK ATM KEK-4172 AY RIDaE EAX-4569 - DROOKLYN INE ZecTe KEE AIO 0OUG,-0.3612,0.0,0.912,0.088
Nayib Bukele calls himself the ‘world’s coolest dictator’ – but is he joking?,2021-09-26T09:00:08Z,https://amp.theguardian.com/world/2021/sep/26/naybib-bukele-el-salvador-president-coolest-dictator,"El Salvador’s president is consolidating power and seems intent on rewriting the country’s constitutionAmong the colourful houses of Comunidad Iberia, an impoverished neighbourhood of San Salvador, the dark glass cube of the Urban Centre for Welfare and Oppor…","Among the colourful houses of Comunidad Iberia, an impoverished neighbourhood of San Salvador, the dark glass cube of the Urban Centre for Welfare and Opportunities (or Cubo in its Spanish acronym) i… [+6052 chars]",0.0,0.0,1.0,0.0
"Dogecoin, Bitcoin, Ethereum See Buying Opportunity After Another China Crackdown - Benzinga - Benzinga",2021-09-25T13:05:00Z,https://www.benzinga.com/markets/cryptocurrency/21/09/23101058/dogecoin-bitcoin-ethereum-see-buying-opportunity-after-another-china-crackdown,"<ol><li>Dogecoin, Bitcoin, Ethereum See Buying Opportunity After Another China Crackdown - Benzinga  Benzinga
</li><li>China banning crypto transactions ‘great news for bitcoin’: Investment firm CEO  Yahoo Finance
</li><li>Bitcoin and ether slide as China i…","After the latest reports about a cryptocurrency ban being enforced by Chinese authorities once again, bears pushed Bitcoin's (CRYPTO: BTC) price down to under $41,000 and most of the cryptocurrency m… [+2676 chars]",0.4215,0.083,0.917,0.0
