,Headlines,Date_Time,URL,Description,Content,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
0,China’s central bank bans cryptocurrency transactions to avoid ‘risks’,2021-09-24T16:22:55Z,https://www.theverge.com/2021/9/24/22691472/china-central-bank-cryptocurrency-illegal-bitcoin,"China’s central bank on Friday said cryptocurrency transactions in the country are illegal, banning all transactions. It said cryptocurrencies like bitcoin and Ethereum are not legal tender and can’t be circulated.","Its the countrys latest crackdown on digital currencies
Illustration by Alex Castro / The Verge
The Peoples Bank of China, the countrys central bank, said Friday that cryptocurrency transactions ar… [+1461 chars]",-0.3549,0.07,0.789,0.14
1,China declares cryptocurrency transactions illegal as crackdown continues,2021-09-24T16:08:57Z,https://abcnews.go.com/Business/china-declares-cryptocurrency-transactions-illegal-crackdown-continues/story?id=80208152,"Bitcoin, Ethereum and others dipped on Friday after the news from Beijing.","Bitcoin, Ethereum and other cryptocurrencies dipped in value on Friday after China declared all transactions involving these digital currencies ""illegal.""
China's central bank, the People's Bank of … [+1905 chars]",0.0,0.0,1.0,0.0
2,Twitter will allow people to tip their favorite content creators with bitcoin,2021-09-24T12:14:00Z,https://techncruncher.blogspot.com/2021/09/twitter-will-allow-people-to-tip-their.html,"Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Thursday.The company also said it will test new ways to help u…","Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Th… [+2802 chars]",0.7351,0.146,0.827,0.027
3,Bitcoin dumps after Chinese condemnation | Kitco News - Kitco NEWS,2021-09-24T10:14:00Z,https://www.kitco.com/news/2021-09-24/Bitcoin-dumps-after-Chinese-condemnation.html,"<ol><li>Bitcoin dumps after Chinese condemnation | Kitco News  Kitco NEWS
</li><li>Bitcoin falls as China deems all cryptocurrency transactions illegal  Financial Post
</li><li>China turns the screws on crypto, Bitcoin stumbles  The Globe and Mail
</li><li…","Editor's Note: With so much market volatility, stay on top of daily news! Get caught up in minutes with our speedy summary of today's must-read news and expert opinions. Sign up here! 
(Kitco News) … [+1167 chars]",-0.9022,0.0,0.706,0.294
4,Bitcoin dives after China declares all crypto transactions illegal,2021-09-24T13:45:23Z,https://thenextweb.com/news/china-declares-all-crypto-transactions-illegal-sending-bitcoin-tumbling,"Did you know Hard Fork is taking the stage on Sept 30 and Oct 1? Together with an amazing line-up of experts, we will explore the future of crypto during TNW Conference 2021. Secure your ticket now! Cryptocurrencies nosedived on Friday after China’s central b…","Virtual currency-related business activities are illegal financial activities, the Peoples Bank of China said on its website  (via Google Translate).
 The bank added that digital currencies such as … [+527 chars]",0.7263,0.13,0.842,0.028
5,Marathon Digital and other crypto-linked stocks drop after China declares cryptocurrency transactions illegal,2021-09-24T13:58:00Z,https://markets.businessinsider.com/news/stocks/marathon-digital-stock-price-riot-blockchain-china-crypto-transactions-illegal-2021-9,"China says bitcoin and ether cannot be used as currency in the world's second-largest economy, sending bitcoin and crypto-linked stocks lower.","Bitcoin
Dan Kitwood/ Getty Images
Shares of bitcoin miners and other stocks tied to the cryptocurrency space slid Friday after China said all crypto-related transactions are illegal, with the count… [+1677 chars]",-0.296,0.0,0.901,0.099
6,"Why are bitcoin, ether, litecoin and other cryptos crashing? Blame China",2021-09-24T07:10:46Z,https://www.fastcompany.com/90680199/why-are-bitcoin-ether-litecoin-and-other-cryptos-crashing-blame-china,"Some cryptocurrencies are down over 8% since the news broke.
Cryptocurrency traders are set to have a rocky day after China’s central bank announced that all cryptocurrency-related transactions are now illegal, reports Bloomberg. The news sent the price of va…","Cryptocurrency traders are set to have a rocky day after China’s central bank announced that all cryptocurrency-related transactions are now illegal, reportsBloomberg. The news sent the price of vari… [+1246 chars]",-0.7506,0.0,0.853,0.147
7,"Crypto: China’s crackdown on crypto notable for PBOC call out of Bitcoin, Ethereum and Tether",2021-09-24T13:36:00Z,https://www.marketwatch.com/story/chinas-crackdown-on-crypto-notable-for-pboc-call-out-of-bitcoin-ethereum-and-tether-11632490610,China has reiterated its crackdown on cryptocurrencies in the world's second largest economy and the latest statement from the People's Bank of China has apparently put pressure on the broader digital-asset complex.,China on Friday reiterated its crackdown on cryptocurrencies in the worlds second largest economy and the latest statement from the Peoples Bank of China has put pressure on the broader digital-asset… [+3867 chars],-0.296,0.0,0.934,0.066
8,China declared all cryptocurrency transactions illegal and causes Bitcoin crash,2021-09-24T15:14:00Z,https://www.entrepreneur.com/article/387585,"The Central Bank of China announced that it will ban financial institutions, payment and internet companies from facilitating cryptocurrency trading to Chinese investors, affecting the price of Bitcoin.","Last May, the Chinese governmentbanned the country's financial institutions from trading digital currencies . This Friday, the Central Bank of China tightened the measures and declared all cryptocurr… [+2412 chars]",-0.5574,0.0,0.882,0.118
9,China declares all cryptocurrency transactions illegal,2021-09-24T11:11:37Z,https://abcnews.go.com/Politics/wireStory/china-declares-cryptocurrency-transactions-illegal-80206260,"China’s central bank has declared all transactions involving Bitcoin and other virtual currencies illegal, stepping up a campaign to block use of unofficial digital money","BEIJING -- Chinas central bank on Friday declared all transactions involving Bitcoin and other virtual currencies illegal, stepping up a campaign to block use of unofficial digital money.
Chinese ba… [+967 chars]",-0.7579,0.0,0.772,0.228
